Job title,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain
Warehouse Associate,80%,78,664,0.1174698795180722,Supply Chain & Logistics
Press Operator,80%,84,1077,0.0779944289693593,Sales & Marketing
Pressman,80%,83,1068,0.0777153558052434,Sales & Marketing
Printing Press Operator,80%,93,1065,0.0873239436619718,Sales & Marketing
Automation Test Engineer,80%,159,1547,0.1027795733678086,Data & IT
Automation Tester,80%,158,1541,0.1025308241401687,Data & IT
QA Automation Engineer,80%,155,1525,0.101639344262295,Data & IT
Tax Preparer,80%,153,1263,0.1211401425178147,Administrative & Clerical
Associate,79%,175,1298,0.1348228043143297,Administrative & Clerical
Chief Learning Officer,79%,162,1250,0.1296,Leadership & Strategy
Web Project Manager,78%,217,1845,0.1176151761517615,Data & IT
Medical Coding Specialist,78%,171,1250,0.1368,Medical & Healthcare
Front Desk,77%,215,1779,0.1208544125913434,Hospitality
Credit Manager,76%,151,1094,0.1380255941499086,Administrative & Clerical
Advertising Manager,75%,195,1370,0.1423357664233576,Sales & Marketing
Caller,75%,131,1085,0.12073732718894,Sales & Marketing
Phone Sales,75%,11,54,0.2037037037037037,Sales & Marketing
Telesales Representative,75%,145,1049,0.1382268827454718,Sales & Marketing
Accounting Clerk,75%,145,1299,0.1116243264049268,Administrative & Clerical
Administrative Associate,75%,281,2139,0.131369798971482,Administrative & Clerical
Administrative Coordinator,75%,281,2128,0.1320488721804511,Administrative & Clerical
Corporate Receptionist,75%,15,58,0.2586206896551724,Administrative & Clerical
Desk Receptionist,75%,14,56,0.25,Administrative & Clerical
Executive Secretary,75%,159,1176,0.135204081632653,Administrative & Clerical
Front Desk Clerk,75%,223,1801,0.1238200999444752,Administrative & Clerical
Front Desk Receptionist,75%,225,1803,0.124792013311148,Administrative & Clerical
Front Office Receptionist,75%,226,1812,0.1247240618101545,Administrative & Clerical
Mail Sorter,75%,136,1219,0.1115668580803937,Administrative & Clerical
Order Clerk,75%,151,1336,0.1130239520958083,Administrative & Clerical
Medical Coder,75%,109,773,0.1410090556274256,Medical & Healthcare
Purchasing Assistant,75%,163,1417,0.1150317572335921,Supply Chain & Logistics
Supply Technician,75%,121,979,0.1235955056179775,Supply Chain & Logistics
Android Developer,75%,147,1393,0.1055276381909547,Data & IT
Ios Developer,75%,148,1394,0.1061692969870875,Data & IT
Chief Of Staff,75%,180,1405,0.1281138790035587,Leadership & Strategy
Intelligence Analyst,75%,169,1185,0.1426160337552742,Law Enforcement
Photo Retoucher,75%,193,1464,0.1318306010928961,Sales & Marketing
Full Charge Bookkeeper,75%,123,858,0.1433566433566433,Administrative & Clerical
Grant Accountant,75%,128,886,0.1444695259593679,Administrative & Clerical
Epic Analyst,75%,114,798,0.1428571428571428,Data & IT
It Project Manager,75%,221,1840,0.1201086956521739,Data & IT
Software Project Manager,75%,175,1442,0.1213592233009708,Data & IT
Technology Project Manager,75%,175,1443,0.1212751212751212,Data & IT
Cobol Developer,75%,130,929,0.1399354144241119,Data & IT
Quantitative Analyst,75%,8,46,0.1739130434782608,Data & IT
Quantitative Research Analyst,75%,168,1096,0.1532846715328467,Data & IT
Report Developer,75%,146,969,0.1506707946336429,Data & IT
Sas Developer,75%,133,932,0.1427038626609442,Data & IT
Statistical Analyst,75%,166,1087,0.1527138914443422,Data & IT
Backend Developer,75%,144,1012,0.1422924901185771,Data & IT
Data Architect,75%,162,1081,0.1498612395929695,Data & IT
Database Designer,75%,162,1081,0.1498612395929695,Data & IT
Database Engineer,75%,12,55,0.2181818181818181,Data & IT
Gis Developer,75%,9,48,0.1875,Data & IT
Informatica Developer,75%,131,925,0.1416216216216216,Data & IT
Ui Developer,75%,152,1088,0.1397058823529411,Data & IT
Ux Developer,75%,9,48,0.1875,Data & IT
Stenographer,75%,8,49,0.1632653061224489,Administrative & Clerical
Allocation Analyst,74%,155,1102,0.1406533575317604,Data & IT
Business Operations Manager,71%,163,1330,0.1225563909774436,Leadership & Strategy
Ecommerce,70%,161,1513,0.1064111037673496,Sales & Marketing
Solar Sales,70%,128,1153,0.1110147441457068,Sales & Marketing
Developer,70%,139,992,0.1401209677419354,Data & IT
Javascript Developer,70%,150,1039,0.1443695861405197,Data & IT
Perl Developer,70%,129,927,0.1391585760517799,Data & IT
Pega Developer,70%,132,932,0.1416309012875536,Data & IT
Sap Developer,70%,131,929,0.1410118406889128,Data & IT
Clinical Informatics Specialist,70%,140,996,0.1405622489959839,Medical & Healthcare
Cloud Engineer,70%,152,1013,0.1500493583415597,Data & IT
Data Scientist,70%,180,1091,0.1649862511457378,Data & IT
Database Programmer,70%,160,1022,0.1565557729941291,Data & IT
Information Assurance,70%,8,46,0.1739130434782608,Data & IT
Oracle Developer,70%,8,46,0.1739130434782608,Data & IT
Sql Database Developer,70%,10,49,0.2040816326530612,Data & IT
Sql Developer,70%,10,49,0.2040816326530612,Data & IT
Sql Server Developer,70%,10,49,0.2040816326530612,Data & IT
Teradata Developer,70%,8,46,0.1739130434782608,Data & IT
Net Developer,70%,8,46,0.1739130434782608,Data & IT
Sports Analyst,70%,9,50,0.18,Sales & Marketing
Chief Of Police,70%,122,1047,0.1165234001910219,Law Enforcement
Emergency Dispatcher,70%,156,1015,0.1536945812807881,Law Enforcement
Investigative Analyst,70%,194,1175,0.1651063829787234,Law Enforcement
Police Dispatcher,70%,164,1039,0.1578440808469682,Law Enforcement
Polygraph Examiner,70%,101,770,0.1311688311688311,Law Enforcement
Public Safety Dispatcher,70%,164,1039,0.1578440808469682,Law Enforcement
Regulatory Analyst,70%,183,1105,0.1656108597285067,Administrative & Clerical
Security Consultant,70%,151,986,0.1531440162271805,Law Enforcement
Embedded Systems Engineer,70%,119,853,0.1395076201641266,Data & IT
Implementation Analyst,70%,178,1156,0.1539792387543252,Data & IT
Medical Billing Specialist,70%,124,827,0.1499395405078597,Medical & Healthcare
Medical Collector,70%,10,52,0.1923076923076923,Medical & Healthcare
Postal Clerk,70%,10,52,0.1923076923076923,Administrative & Clerical
Distribution Clerk,70%,10,52,0.1923076923076923,Supply Chain & Logistics
Purchasing Buyer,70%,164,1427,0.114926419060967,Supply Chain & Logistics
Qa Software Tester,70%,127,918,0.1383442265795207,Data & IT
Application Developer,70%,151,1045,0.1444976076555024,Data & IT
Entry Level Developer,70%,151,1033,0.1461761858664085,Data & IT
Front End Developer,70%,159,1104,0.1440217391304347,Data & IT
Front End Engineer,70%,158,1093,0.1445562671546203,Data & IT
Front End Web Developer,70%,159,1055,0.1507109004739336,Data & IT
Full Stack Developer,70%,154,1044,0.1475095785440613,Data & IT
J2Ee Developer,70%,141,983,0.143438453713123,Data & IT
Robotics Engineer,70%,111,804,0.1380597014925373,Data & IT
Appointment Scheduler,70%,165,1212,0.1361386138613861,Administrative & Clerical
Desk Clerk,70%,120,765,0.1568627450980392,Administrative & Clerical
Document Processor,70%,178,1448,0.1229281767955801,Administrative & Clerical
Mailroom Clerk,70%,135,1205,0.1120331950207468,Administrative & Clerical
Office Cleaner,70%,64,386,0.1658031088082901,Hospitality
Receiving Clerk,70%,149,1307,0.1140015302218821,Supply Chain & Logistics
Radiologic Technologist,70%,75,549,0.1366120218579235,Medical & Healthcare
Radiology Technologist,70%,75,549,0.1366120218579235,Medical & Healthcare
Ultrasound Technician,70%,76,566,0.1342756183745583,Medical & Healthcare
Ultrasound Technologist,70%,76,566,0.1342756183745583,Medical & Healthcare
Electrical Technician,70%,6,45,0.1333333333333333,Construction
Flooring Installer,70%,1,2,0.5,Construction
Technical Marketing Engineer,70%,244,1576,0.1548223350253807,Sales & Marketing
Web Content Editor,70%,234,1986,0.1178247734138972,Data & IT
Engineering Project Manager,70%,176,1446,0.1217150760719225,Data & IT
Infrastructure Project Manager,70%,176,1448,0.1215469613259668,Data & IT
Sap Project Manager,70%,10,52,0.1923076923076923,Data & IT
Software Product Manager,70%,181,1472,0.1229619565217391,Data & IT
Technical Product Manager,70%,183,1474,0.1241519674355495,Data & IT
Cashier,70%,97,703,0.1379800853485064,Hospitality
Mystery Shopper,70%,99,671,0.1475409836065573,Hospitality
Infrastructure Architect,70%,148,1304,0.1134969325153374,Data & IT
Actuary,70%,131,1251,0.1047162270183852,Administrative & Clerical
Arabic Linguist,70%,113,859,0.1315483119906868,Communication & PR
Game Programmer,70%,152,1318,0.1153262518968133,Data & IT
Mortgage Loan Processor,70%,146,1322,0.1104387291981845,Administrative & Clerical
Computational Linguist,70%,139,912,0.1524122807017544,Data & IT
Bank Teller,70%,113,824,0.137135922330097,Administrative & Clerical
Credit Analyst,70%,169,1398,0.1208869814020028,Administrative & Clerical
Credit Officer,70%,174,1452,0.1198347107438016,Administrative & Clerical
Credit Risk Analyst,70%,171,1119,0.1528150134048257,Administrative & Clerical
Credit Specialist,70%,170,1394,0.1219512195121951,Administrative & Clerical
Financial Analyst,70%,172,1125,0.1528888888888888,Administrative & Clerical
Financial Specialist,70%,174,1127,0.1543921916592724,Administrative & Clerical
Fund Accountant,70%,130,874,0.148741418764302,Administrative & Clerical
Payment Processor,70%,149,1316,0.1132218844984802,Administrative & Clerical
Payroll Processor,70%,145,1302,0.1113671274961597,Administrative & Clerical
Tax Examiner,70%,134,896,0.1495535714285714,Administrative & Clerical
Clinical Trial Assistant,70%,136,886,0.1534988713318284,Medical & Healthcare
Cad Drafter,68%,125,948,0.1318565400843881,Construction
Business Manager,68%,164,1072,0.1529850746268656,Leadership & Strategy
Inpatient Coder,68%,117,752,0.1555851063829787,Medical & Healthcare
Assistant Branch Manager,67%,130,861,0.1509872241579558,Leadership & Strategy
Front Desk Attendant,67%,126,886,0.1422121896162528,Hospitality
Front Office Clerk,67%,129,926,0.1393088552915766,Hospitality
Administrative Officer,65%,133,865,0.153757225433526,Administrative & Clerical
Administrative Specialist,65%,134,866,0.1547344110854503,Administrative & Clerical
Branch Office Administrator,65%,130,828,0.1570048309178744,Administrative & Clerical
Help Desk,65%,133,1047,0.1270296084049665,Data & IT
Order Processor,65%,129,927,0.1391585760517799,Administrative & Clerical
Title Clerk,65%,107,704,0.1519886363636363,Administrative & Clerical
Warranty Clerk,65%,116,816,0.142156862745098,Administrative & Clerical
Crm Analyst,65%,164,1081,0.1517113783533765,Data & IT
Sales Operations Analyst,65%,157,1053,0.1490978157644824,Sales & Marketing
Freelance,65%,182,1206,0.1509121061359867,Data & IT
Technology,65%,160,1099,0.1455868971792538,Data & IT
Analog Design Engineer,65%,134,913,0.1467688937568455,Data & IT
Automation Engineer,65%,141,937,0.1504802561366061,Data & IT
Medical Claims Processor,65%,140,836,0.1674641148325359,Medical & Healthcare
Logistics Clerk,65%,124,1005,0.1233830845771144,Supply Chain & Logistics
Shipping,65%,107,711,0.150492264416315,Supply Chain & Logistics
Executive Producer,65%,182,1302,0.1397849462365591,Sales & Marketing
.Net Developer,65%,248,1734,0.1430219146482122,Data & IT
Abap Developer,65%,242,1696,0.142688679245283,Data & IT
Asp.Net Developer,65%,245,1752,0.1398401826484018,Data & IT
Associate Software Engineer,65%,245,1753,0.1397604107244723,Data & IT
C Developer,65%,242,1743,0.1388410786001147,Data & IT
C# Developer,65%,248,1731,0.1432697862507221,Data & IT
Dot Net Developer,65%,249,1735,0.1435158501440922,Data & IT
Firmware Engineer,65%,238,1635,0.145565749235474,Data & IT
Bookkeeper,65%,141,911,0.1547749725576289,Administrative & Clerical
Bookkeeping,65%,139,914,0.1520787746170678,Administrative & Clerical
Commercial Analyst,65%,157,1039,0.1511068334937439,Administrative & Clerical
Commission Analyst,65%,159,1061,0.1498586239396795,Administrative & Clerical
Corporate Financial Analyst,65%,162,1056,0.1534090909090909,Administrative & Clerical
Cost Accountant,65%,158,1067,0.148078725398313,Administrative & Clerical
Derivatives Analyst,65%,161,1059,0.1520302171860245,Administrative & Clerical
Energy Analyst,65%,164,1066,0.1538461538461538,Construction
Environmental Analyst,65%,164,1067,0.1537019681349578,Construction
Equity Analyst,65%,162,1066,0.1519699812382739,Administrative & Clerical
Equity Research Analyst,65%,162,1066,0.1519699812382739,Administrative & Clerical
Equity Research Associate,65%,163,1067,0.1527647610121837,Administrative & Clerical
Finance Analyst,65%,168,1242,0.1352657004830917,Administrative & Clerical
Finance Specialist,65%,160,1218,0.1313628899835796,Administrative & Clerical
Financial Auditor,65%,154,983,0.1566632756866734,Administrative & Clerical
Forensic Accountant,65%,157,996,0.1576305220883534,Administrative & Clerical
Certified Professional Coder,65%,129,798,0.1616541353383458,Medical & Healthcare
Junior Java Developer,65%,247,1714,0.1441073512252042,Data & IT
Junior Software Engineer,65%,243,1716,0.1416083916083916,Data & IT
Operations Research Analyst,65%,174,1119,0.1554959785522788,Data & IT
Rpg Programmer,65%,217,1279,0.1696637998436278,Data & IT
Clinical Data Analyst,65%,220,1369,0.1607012417823228,Data & IT
Database Administrator,65%,241,1372,0.1756559766763848,Data & IT
Healthcare Data Analyst,65%,230,1609,0.1429459291485394,Data & IT
Mainframe Programmer,65%,226,1354,0.1669128508124076,Data & IT
Oracle Database Developer,65%,242,1424,0.1699438202247191,Data & IT
Sql Data Analyst,65%,250,1459,0.1713502398903358,Data & IT
Armored Truck Driver,65%,28,227,0.1233480176211453,Law Enforcement
Correctional Officer,65%,37,280,0.1321428571428571,Law Enforcement
Deputy Director,65%,122,829,0.1471652593486128,Leadership & Strategy
Forensic Chemist,65%,54,423,0.1276595744680851,Medical & Healthcare
Safety Consultant,65%,73,765,0.0954248366013071,Construction
Security Dispatcher,65%,84,774,0.1085271317829457,Law Enforcement
Cad Operator,65%,123,921,0.1335504885993485,Data & IT
Cad Technician,65%,124,922,0.1344902386117136,Data & IT
Game Artist,65%,190,1453,0.1307639366827254,Data & IT
Radiology Assistant,65%,68,480,0.1416666666666666,Medical & Healthcare
Sonographer,65%,57,412,0.1383495145631068,Medical & Healthcare
Ultrasonographer,65%,59,438,0.1347031963470319,Medical & Healthcare
Vascular Sonographer,65%,57,434,0.1313364055299539,Medical & Healthcare
Vascular Technician,65%,57,434,0.1313364055299539,Medical & Healthcare
Vascular Technologist,65%,57,434,0.1313364055299539,Medical & Healthcare
X Ray Technician,65%,59,437,0.1350114416475972,Medical & Healthcare
Cleaner,65%,6,27,0.2222222222222222,Hospitality
Hospital Housekeeping,65%,8,33,0.2424242424242424,Hospitality
Assembly Operator,65%,59,495,0.1191919191919192,Construction
Electronic Assembler,65%,59,497,0.1187122736418511,Construction
Line Operator,65%,58,488,0.1188524590163934,Construction
Survey Researcher,65%,165,1079,0.1529193697868396,Sales & Marketing
Web Content Manager,65%,322,2266,0.1421006178287731,Sales & Marketing
Electrical Drafter,65%,123,920,0.133695652173913,Construction
Structural Designer,65%,130,965,0.1347150259067357,Construction
Medical Biller,65%,137,832,0.1646634615384615,Medical & Healthcare
Sales Associate,65%,169,1197,0.1411862990810359,Sales & Marketing
Business Banking Relationship Manager,65%,166,1126,0.147424511545293,Sales & Marketing
Janitor,65%,9,138,0.0652173913043478,Administrative & Clerical
Autocad Drafter,65%,162,1598,0.1013767209011264,Construction
Assistant Director,65%,135,989,0.1365015166835187,Leadership & Strategy
Executive Personal Assistant,65%,128,1018,0.1257367387033398,Administrative & Clerical
Pricing Specialist,65%,164,1163,0.1410146173688736,Sales & Marketing
Ticket Agent,64%,93,834,0.1115107913669064,Hospitality
Contract Specialist,63%,162,1161,0.1395348837209302,Administrative & Clerical
Freelancer,63%,120,974,0.1232032854209445,Data & IT
Requirements Analyst,62%,180,1595,0.1128526645768025,Data & IT
Seo Consultant,61%,166,1338,0.1240657698056801,Sales & Marketing
Seo Manager,60%,166,1334,0.1244377811094452,Sales & Marketing
Seo Specialist,60%,168,1356,0.1238938053097345,Sales & Marketing
Creative Project Manager,60%,169,1604,0.105361596009975,Sales & Marketing
Erp Project Manager,60%,162,1497,0.1082164328657314,Data & IT
Healthcare Project Manager,60%,169,1539,0.1098115659519168,Medical & Healthcare
Product Manager,60%,195,1732,0.1125866050808314,Sales & Marketing
Project Consultant,60%,183,1636,0.1118581907090464,Data & IT
Project Manager,60%,190,1686,0.1126927639383155,Data & IT
Customer Assistant,60%,167,1340,0.1246268656716417,Administrative & Clerical
Drafter,60%,165,1622,0.1017262638717632,Construction
Junior Architect,60%,148,1581,0.0936116382036685,Construction
Space Planner,60%,162,1553,0.1043142305215711,Construction
Truss Designer,60%,160,1521,0.1051939513477975,Construction
Urban Planner,60%,164,1559,0.1051956382296343,Construction
Insurance Sales,60%,135,1031,0.1309408341416101,Sales & Marketing
Insurance Sales Representative,60%,135,1031,0.1309408341416101,Sales & Marketing
Life Insurance Agent,60%,133,1025,0.1297560975609756,Sales & Marketing
Java Software Engineer,60%,110,796,0.1381909547738693,Data & IT
Java Web Developer,60%,110,796,0.1381909547738693,Data & IT
Junior Developer,60%,114,810,0.1407407407407407,Data & IT
Performance Analyst,60%,176,1339,0.1314413741598207,Data & IT
Risk Management Analyst,60%,197,1658,0.1188178528347406,Data & IT
Salesforce Business Analyst,60%,208,1694,0.1227863046044864,Data & IT
Data Analyst,60%,217,1405,0.1544483985765124,Data & IT
Database Architect,60%,170,1564,0.108695652173913,Data & IT
Health Data Analyst,60%,206,1372,0.1501457725947521,Medical & Healthcare
Sql Dba,60%,147,1447,0.1015894955079474,Data & IT
Sql Server Dba,60%,148,1455,0.1017182130584192,Data & IT
Shipping Clerk,60%,141,1102,0.1279491833030853,Supply Chain & Logistics
Timekeeper,60%,97,843,0.1150652431791221,Administrative & Clerical
Administration,60%,108,879,0.1228668941979522,Administrative & Clerical
Administrative Director,60%,120,937,0.128068303094984,Leadership & Strategy
Assistant Administrator,60%,119,926,0.1285097192224622,Administrative & Clerical
Compliance Analyst,60%,187,1309,0.1428571428571428,Medical & Healthcare
Front Desk Coordinator,60%,105,855,0.1228070175438596,Administrative & Clerical
Office Clerk,60%,98,822,0.1192214111922141,Administrative & Clerical
Operations Clerk,60%,108,890,0.1213483146067415,Administrative & Clerical
Procurement Clerk,60%,115,907,0.1267916207276736,Administrative & Clerical
Receiver,60%,50,311,0.1607717041800643,Administrative & Clerical
Registration Clerk,60%,85,710,0.1197183098591549,Administrative & Clerical
Registration Specialist,60%,90,756,0.119047619047619,Administrative & Clerical
Unit Secretary,60%,96,834,0.1151079136690647,Administrative & Clerical
Healthcare Business Analyst,60%,206,1671,0.1232794733692399,Medical & Healthcare
Surgery Scheduler,60%,81,815,0.0993865030674846,Medical & Healthcare
Post Office,60%,73,516,0.1414728682170542,Administrative & Clerical
Demand Planner,60%,154,1120,0.1375,Supply Chain & Logistics
Logistics Coordinator,60%,158,1201,0.1315570358034971,Supply Chain & Logistics
Procurement Agent,60%,156,1123,0.138913624220837,Supply Chain & Logistics
Purchasing Coordinator,60%,158,1201,0.1315570358034971,Supply Chain & Logistics
Shipping Coordinator,60%,160,1175,0.1361702127659574,Supply Chain & Logistics
Supply Chain Coordinator,60%,157,1200,0.1308333333333333,Supply Chain & Logistics
Supply Coordinator,60%,156,1196,0.1304347826086956,Supply Chain & Logistics
Assignment Editor,60%,148,1187,0.1246840775063184,Communication & PR
Front Desk Agent,60%,108,878,0.123006833712984,Hospitality
Radio Operator,60%,124,890,0.1393258426966292,Communication & PR
Manual Qa Tester,60%,121,1053,0.1149097815764482,Data & IT
Manual Tester,60%,121,1016,0.1190944881889763,Data & IT
Coldfusion Developer,60%,108,735,0.1469387755102041,Data & IT
Computer Scientist,60%,118,779,0.1514762516046213,Data & IT
Drupal Developer,60%,108,776,0.1391752577319587,Data & IT
Java,60%,103,740,0.1391891891891891,Data & IT
Java Developer,60%,109,769,0.141742522756827,Data & IT
Java Engineer,60%,110,796,0.1381909547738693,Data & IT
Java Programmer,60%,110,796,0.1381909547738693,Data & IT
Java Software Developer,60%,110,796,0.1381909547738693,Data & IT
Home Inspector,60%,69,521,0.1324376199616123,Construction
Biomedical Engineer,60%,102,732,0.1393442622950819,Medical & Healthcare
Biotechnology,60%,97,694,0.1397694524495677,Medical & Healthcare
Environmental Engineer,60%,115,757,0.1519154557463672,Construction
Industrial Organizational Psychologist,60%,90,685,0.1313868613138686,Medical & Healthcare
Accounts Payable,60%,154,1154,0.1334488734835355,Administrative & Clerical
Auditor,60%,162,1260,0.1285714285714285,Administrative & Clerical
Budget Analyst,60%,165,1165,0.1416309012875536,Administrative & Clerical
Collection Agent,60%,173,1283,0.1348402182385035,Administrative & Clerical
Collection Representative,60%,181,1646,0.1099635479951397,Administrative & Clerical
Collection Specialist,60%,184,1663,0.1106434155141311,Administrative & Clerical
Collections Specialist,60%,184,1663,0.1106434155141311,Administrative & Clerical
Compliance Auditor,60%,190,1329,0.1429646350639578,Medical & Healthcare
Cost Controller,60%,195,1655,0.1178247734138972,Administrative & Clerical
Credit Controller,60%,192,1647,0.116575591985428,Administrative & Clerical
Debt Collector,60%,182,1357,0.1341193809874723,Administrative & Clerical
Exchange Engineer,60%,149,1158,0.1286701208981001,Data & IT
Financial Engineer,60%,192,1635,0.1174311926605504,Data & IT
Financial Examiner,60%,192,1325,0.1449056603773585,Administrative & Clerical
Loan Closer,60%,178,1593,0.1117388575015693,Administrative & Clerical
Mortgage Closer,60%,149,1193,0.1248952221290863,Administrative & Clerical
Mortgage Loan Closer,60%,149,1193,0.1248952221290863,Administrative & Clerical
Processor,60%,131,1133,0.115622241835834,Administrative & Clerical
Trader,60%,161,1479,0.1088573360378634,Sales & Marketing
Treasury Accountant,60%,183,1563,0.1170825335892514,Administrative & Clerical
Clinical Analyst,60%,201,1666,0.1206482593037214,Medical & Healthcare
Meter Reader,60%,28,240,0.1166666666666666,Administrative & Clerical
Gas Station Attendant,60%,28,239,0.1171548117154811,Administrative & Clerical
Lactation Consultant,60%,72,540,0.1333333333333333,Medical & Healthcare
Ticket Taker,60%,54,349,0.154727793696275,Hospitality
Usher,60%,52,355,0.1464788732394366,Hospitality
911 Dispatcher,60%,133,1008,0.1319444444444444,Law Enforcement
911 Operator,60%,133,1007,0.1320754716981132,Law Enforcement
Fingerprint Technician,60%,116,1076,0.1078066914498141,Law Enforcement
Forensic Examiner,60%,125,1385,0.0902527075812274,Law Enforcement
Forensic Scientist,60%,129,1396,0.0924068767908309,Law Enforcement
Intelligence,60%,148,1439,0.1028492008339124,Law Enforcement
Military Analyst,60%,168,1517,0.1107448912326961,Law Enforcement
Safety Coordinator,60%,1,2,0.5,Law Enforcement
Security Technician,60%,117,854,0.1370023419203747,Law Enforcement
Skip Tracer,60%,103,745,0.138255033557047,Law Enforcement
Information Analyst,60%,155,1192,0.1300335570469798,Data & IT
Information Specialist,60%,153,1186,0.1290050590219224,Data & IT
Network Systems Administrator,60%,126,1371,0.0919037199124726,Data & IT
Senior Systems Engineer,60%,129,1344,0.0959821428571428,Data & IT
Software Engineer,60%,133,1342,0.0991058122205663,Data & IT
Systems Administrator,60%,132,1398,0.0944206008583691,Data & IT
Systems Analyst,60%,168,1558,0.1078305519897304,Data & IT
Unix Administrator,60%,125,1355,0.092250922509225,Data & IT
Unix System Administrator,60%,121,1340,0.0902985074626865,Data & IT
Vmware Administrator,60%,125,1355,0.092250922509225,Data & IT
