Job title,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Impact_Level
Credit Manager,0.76,151,1094,0.1380255941499086,Administrative & Clerical,Significant
Advertising Manager,0.75,195,1370,0.1423357664233576,Sales & Marketing,Significant
Caller,0.75,131,1085,0.12073732718894,Sales & Marketing,Significant
Phone Sales,0.75,11,54,0.2037037037037037,Sales & Marketing,Significant
Telesales Representative,0.75,145,1049,0.1382268827454718,Sales & Marketing,Significant
Accounting Clerk,0.75,145,1299,0.1116243264049268,Administrative & Clerical,Significant
Administrative Associate,0.75,281,2139,0.131369798971482,Administrative & Clerical,Significant
Administrative Coordinator,0.75,281,2128,0.1320488721804511,Administrative & Clerical,Significant
Corporate Receptionist,0.75,15,58,0.2586206896551724,Administrative & Clerical,Significant
Desk Receptionist,0.75,14,56,0.25,Administrative & Clerical,Significant
Executive Secretary,0.75,159,1176,0.135204081632653,Administrative & Clerical,Significant
Front Desk Clerk,0.75,223,1801,0.1238200999444752,Administrative & Clerical,Significant
Front Desk Receptionist,0.75,225,1803,0.124792013311148,Administrative & Clerical,Significant
Front Office Receptionist,0.75,226,1812,0.1247240618101545,Administrative & Clerical,Significant
Mail Sorter,0.75,136,1219,0.1115668580803937,Administrative & Clerical,Significant
Order Clerk,0.75,151,1336,0.1130239520958083,Administrative & Clerical,Significant
Medical Coder,0.75,109,773,0.1410090556274256,Medical & Healthcare,Significant
Purchasing Assistant,0.75,163,1417,0.1150317572335921,Supply Chain & Logistics,Significant
Supply Technician,0.75,121,979,0.1235955056179775,Supply Chain & Logistics,Significant
Android Developer,0.75,147,1393,0.1055276381909547,Data & IT,Significant
Ios Developer,0.75,148,1394,0.1061692969870875,Data & IT,Significant
Chief Of Staff,0.75,180,1405,0.1281138790035587,Leadership & Strategy,Significant
Intelligence Analyst,0.75,169,1185,0.1426160337552742,Law Enforcement,Significant
Photo Retoucher,0.75,193,1464,0.1318306010928961,Sales & Marketing,Significant
Full Charge Bookkeeper,0.75,123,858,0.1433566433566433,Administrative & Clerical,Significant
Grant Accountant,0.75,128,886,0.1444695259593679,Administrative & Clerical,Significant
Epic Analyst,0.75,114,798,0.1428571428571428,Data & IT,Significant
It Project Manager,0.75,221,1840,0.1201086956521739,Data & IT,Significant
Software Project Manager,0.75,175,1442,0.1213592233009708,Data & IT,Significant
Technology Project Manager,0.75,175,1443,0.1212751212751212,Data & IT,Significant
Cobol Developer,0.75,130,929,0.1399354144241119,Data & IT,Significant
Quantitative Analyst,0.75,8,46,0.1739130434782608,Data & IT,Significant
Quantitative Research Analyst,0.75,168,1096,0.1532846715328467,Data & IT,Significant
Report Developer,0.75,146,969,0.1506707946336429,Data & IT,Significant
Sas Developer,0.75,133,932,0.1427038626609442,Data & IT,Significant
Statistical Analyst,0.75,166,1087,0.1527138914443422,Data & IT,Significant
Backend Developer,0.75,144,1012,0.1422924901185771,Data & IT,Significant
Data Architect,0.75,162,1081,0.1498612395929695,Data & IT,Significant
Database Designer,0.75,162,1081,0.1498612395929695,Data & IT,Significant
Database Engineer,0.75,12,55,0.2181818181818181,Data & IT,Significant
Gis Developer,0.75,9,48,0.1875,Data & IT,Significant
Informatica Developer,0.75,131,925,0.1416216216216216,Data & IT,Significant
Ui Developer,0.75,152,1088,0.1397058823529411,Data & IT,Significant
Ux Developer,0.75,9,48,0.1875,Data & IT,Significant
Stenographer,0.75,8,49,0.1632653061224489,Administrative & Clerical,Significant
Allocation Analyst,0.74,155,1102,0.1406533575317604,Data & IT,Moderate
Business Operations Manager,0.71,163,1330,0.1225563909774436,Leadership & Strategy,Moderate
Ecommerce,0.7,161,1513,0.1064111037673496,Sales & Marketing,Moderate
Solar Sales,0.7,128,1153,0.1110147441457068,Sales & Marketing,Moderate
Developer,0.7,139,992,0.1401209677419354,Data & IT,Moderate
Javascript Developer,0.7,150,1039,0.1443695861405197,Data & IT,Moderate
Perl Developer,0.7,129,927,0.1391585760517799,Data & IT,Moderate
Pega Developer,0.7,132,932,0.1416309012875536,Data & IT,Moderate
Sap Developer,0.7,131,929,0.1410118406889128,Data & IT,Moderate
Clinical Informatics Specialist,0.7,140,996,0.1405622489959839,Medical & Healthcare,Moderate
Cloud Engineer,0.7,152,1013,0.1500493583415597,Data & IT,Moderate
Data Scientist,0.7,180,1091,0.1649862511457378,Data & IT,Moderate
Database Programmer,0.7,160,1022,0.1565557729941291,Data & IT,Moderate
Information Assurance,0.7,8,46,0.1739130434782608,Data & IT,Moderate
Oracle Developer,0.7,8,46,0.1739130434782608,Data & IT,Moderate
Sql Database Developer,0.7,10,49,0.2040816326530612,Data & IT,Moderate
Sql Developer,0.7,10,49,0.2040816326530612,Data & IT,Moderate
Sql Server Developer,0.7,10,49,0.2040816326530612,Data & IT,Moderate
Teradata Developer,0.7,8,46,0.1739130434782608,Data & IT,Moderate
Net Developer,0.7,8,46,0.1739130434782608,Data & IT,Moderate
Sports Analyst,0.7,9,50,0.18,Sales & Marketing,Moderate
Chief Of Police,0.7,122,1047,0.1165234001910219,Law Enforcement,Moderate
Emergency Dispatcher,0.7,156,1015,0.1536945812807881,Law Enforcement,Moderate
Investigative Analyst,0.7,194,1175,0.1651063829787234,Law Enforcement,Moderate
Police Dispatcher,0.7,164,1039,0.1578440808469682,Law Enforcement,Moderate
Polygraph Examiner,0.7,101,770,0.1311688311688311,Law Enforcement,Moderate
Public Safety Dispatcher,0.7,164,1039,0.1578440808469682,Law Enforcement,Moderate
Regulatory Analyst,0.7,183,1105,0.1656108597285067,Administrative & Clerical,Moderate
Security Consultant,0.7,151,986,0.1531440162271805,Law Enforcement,Moderate
Embedded Systems Engineer,0.7,119,853,0.1395076201641266,Data & IT,Moderate
Implementation Analyst,0.7,178,1156,0.1539792387543252,Data & IT,Moderate
Medical Billing Specialist,0.7,124,827,0.1499395405078597,Medical & Healthcare,Moderate
Medical Collector,0.7,10,52,0.1923076923076923,Medical & Healthcare,Moderate
Postal Clerk,0.7,10,52,0.1923076923076923,Administrative & Clerical,Moderate
Distribution Clerk,0.7,10,52,0.1923076923076923,Supply Chain & Logistics,Moderate
Purchasing Buyer,0.7,164,1427,0.114926419060967,Supply Chain & Logistics,Moderate
Qa Software Tester,0.7,127,918,0.1383442265795207,Data & IT,Moderate
Application Developer,0.7,151,1045,0.1444976076555024,Data & IT,Moderate
Entry Level Developer,0.7,151,1033,0.1461761858664085,Data & IT,Moderate
Front End Developer,0.7,159,1104,0.1440217391304347,Data & IT,Moderate
Front End Engineer,0.7,158,1093,0.1445562671546203,Data & IT,Moderate
Front End Web Developer,0.7,159,1055,0.1507109004739336,Data & IT,Moderate
Full Stack Developer,0.7,154,1044,0.1475095785440613,Data & IT,Moderate
J2Ee Developer,0.7,141,983,0.143438453713123,Data & IT,Moderate
Robotics Engineer,0.7,111,804,0.1380597014925373,Data & IT,Moderate
Appointment Scheduler,0.7,165,1212,0.1361386138613861,Administrative & Clerical,Moderate
Desk Clerk,0.7,120,765,0.1568627450980392,Administrative & Clerical,Moderate
Document Processor,0.7,178,1448,0.1229281767955801,Administrative & Clerical,Moderate
Mailroom Clerk,0.7,135,1205,0.1120331950207468,Administrative & Clerical,Moderate
Office Cleaner,0.7,64,386,0.1658031088082901,Hospitality,Moderate
Receiving Clerk,0.7,149,1307,0.1140015302218821,Supply Chain & Logistics,Moderate
Radiologic Technologist,0.7,75,549,0.1366120218579235,Medical & Healthcare,Moderate
Radiology Technologist,0.7,75,549,0.1366120218579235,Medical & Healthcare,Moderate
Ultrasound Technician,0.7,76,566,0.1342756183745583,Medical & Healthcare,Moderate
Ultrasound Technologist,0.7,76,566,0.1342756183745583,Medical & Healthcare,Moderate
Electrical Technician,0.7,6,45,0.1333333333333333,Construction,Moderate
Flooring Installer,0.7,1,2,0.5,Construction,Moderate
Technical Marketing Engineer,0.7,244,1576,0.1548223350253807,Sales & Marketing,Moderate
Web Content Editor,0.7,234,1986,0.1178247734138972,Data & IT,Moderate
Engineering Project Manager,0.7,176,1446,0.1217150760719225,Data & IT,Moderate
Infrastructure Project Manager,0.7,176,1448,0.1215469613259668,Data & IT,Moderate
Sap Project Manager,0.7,10,52,0.1923076923076923,Data & IT,Moderate
Software Product Manager,0.7,181,1472,0.1229619565217391,Data & IT,Moderate
Technical Product Manager,0.7,183,1474,0.1241519674355495,Data & IT,Moderate
Cashier,0.7,97,703,0.1379800853485064,Hospitality,Moderate
Mystery Shopper,0.7,99,671,0.1475409836065573,Hospitality,Moderate
Infrastructure Architect,0.7,148,1304,0.1134969325153374,Data & IT,Moderate
Actuary,0.7,131,1251,0.1047162270183852,Administrative & Clerical,Moderate
Arabic Linguist,0.7,113,859,0.1315483119906868,Communication & PR,Moderate
Game Programmer,0.7,152,1318,0.1153262518968133,Data & IT,Moderate
Mortgage Loan Processor,0.7,146,1322,0.1104387291981845,Administrative & Clerical,Moderate
Computational Linguist,0.7,139,912,0.1524122807017544,Data & IT,Moderate
Bank Teller,0.7,113,824,0.137135922330097,Administrative & Clerical,Moderate
Credit Analyst,0.7,169,1398,0.1208869814020028,Administrative & Clerical,Moderate
Credit Officer,0.7,174,1452,0.1198347107438016,Administrative & Clerical,Moderate
Credit Risk Analyst,0.7,171,1119,0.1528150134048257,Administrative & Clerical,Moderate
Credit Specialist,0.7,170,1394,0.1219512195121951,Administrative & Clerical,Moderate
Financial Analyst,0.7,172,1125,0.1528888888888888,Administrative & Clerical,Moderate
Financial Specialist,0.7,174,1127,0.1543921916592724,Administrative & Clerical,Moderate
Fund Accountant,0.7,130,874,0.148741418764302,Administrative & Clerical,Moderate
Payment Processor,0.7,149,1316,0.1132218844984802,Administrative & Clerical,Moderate
Payroll Processor,0.7,145,1302,0.1113671274961597,Administrative & Clerical,Moderate
Tax Examiner,0.7,134,896,0.1495535714285714,Administrative & Clerical,Moderate
Clinical Trial Assistant,0.7,136,886,0.1534988713318284,Medical & Healthcare,Moderate
Cad Drafter,0.68,125,948,0.1318565400843881,Construction,Moderate
Business Manager,0.68,164,1072,0.1529850746268656,Leadership & Strategy,Moderate
Inpatient Coder,0.68,117,752,0.1555851063829787,Medical & Healthcare,Moderate
Assistant Branch Manager,0.67,130,861,0.1509872241579558,Leadership & Strategy,Moderate
Front Desk Attendant,0.67,126,886,0.1422121896162528,Hospitality,Moderate
Front Office Clerk,0.67,129,926,0.1393088552915766,Hospitality,Moderate
Administrative Officer,0.65,133,865,0.153757225433526,Administrative & Clerical,Moderate
Administrative Specialist,0.65,134,866,0.1547344110854503,Administrative & Clerical,Moderate
Branch Office Administrator,0.65,130,828,0.1570048309178744,Administrative & Clerical,Moderate
Help Desk,0.65,133,1047,0.1270296084049665,Data & IT,Moderate
Order Processor,0.65,129,927,0.1391585760517799,Administrative & Clerical,Moderate
Title Clerk,0.65,107,704,0.1519886363636363,Administrative & Clerical,Moderate
Warranty Clerk,0.65,116,816,0.142156862745098,Administrative & Clerical,Moderate
Crm Analyst,0.65,164,1081,0.1517113783533765,Data & IT,Moderate
Sales Operations Analyst,0.65,157,1053,0.1490978157644824,Sales & Marketing,Moderate
Freelance,0.65,182,1206,0.1509121061359867,Data & IT,Moderate
Technology,0.65,160,1099,0.1455868971792538,Data & IT,Moderate
Analog Design Engineer,0.65,134,913,0.1467688937568455,Data & IT,Moderate
Automation Engineer,0.65,141,937,0.1504802561366061,Data & IT,Moderate
Medical Claims Processor,0.65,140,836,0.1674641148325359,Medical & Healthcare,Moderate
Logistics Clerk,0.65,124,1005,0.1233830845771144,Supply Chain & Logistics,Moderate
Shipping,0.65,107,711,0.150492264416315,Supply Chain & Logistics,Moderate
Executive Producer,0.65,182,1302,0.1397849462365591,Sales & Marketing,Moderate
.Net Developer,0.65,248,1734,0.1430219146482122,Data & IT,Moderate
Abap Developer,0.65,242,1696,0.142688679245283,Data & IT,Moderate
Asp.Net Developer,0.65,245,1752,0.1398401826484018,Data & IT,Moderate
Associate Software Engineer,0.65,245,1753,0.1397604107244723,Data & IT,Moderate
C Developer,0.65,242,1743,0.1388410786001147,Data & IT,Moderate
C# Developer,0.65,248,1731,0.1432697862507221,Data & IT,Moderate
Dot Net Developer,0.65,249,1735,0.1435158501440922,Data & IT,Moderate
Firmware Engineer,0.65,238,1635,0.145565749235474,Data & IT,Moderate
Bookkeeper,0.65,141,911,0.1547749725576289,Administrative & Clerical,Moderate
Bookkeeping,0.65,139,914,0.1520787746170678,Administrative & Clerical,Moderate
Commercial Analyst,0.65,157,1039,0.1511068334937439,Administrative & Clerical,Moderate
Commission Analyst,0.65,159,1061,0.1498586239396795,Administrative & Clerical,Moderate
Corporate Financial Analyst,0.65,162,1056,0.1534090909090909,Administrative & Clerical,Moderate
Cost Accountant,0.65,158,1067,0.148078725398313,Administrative & Clerical,Moderate
Derivatives Analyst,0.65,161,1059,0.1520302171860245,Administrative & Clerical,Moderate
Energy Analyst,0.65,164,1066,0.1538461538461538,Construction,Moderate
Environmental Analyst,0.65,164,1067,0.1537019681349578,Construction,Moderate
Equity Analyst,0.65,162,1066,0.1519699812382739,Administrative & Clerical,Moderate
Equity Research Analyst,0.65,162,1066,0.1519699812382739,Administrative & Clerical,Moderate
Equity Research Associate,0.65,163,1067,0.1527647610121837,Administrative & Clerical,Moderate
Finance Analyst,0.65,168,1242,0.1352657004830917,Administrative & Clerical,Moderate
Finance Specialist,0.65,160,1218,0.1313628899835796,Administrative & Clerical,Moderate
Financial Auditor,0.65,154,983,0.1566632756866734,Administrative & Clerical,Moderate
Forensic Accountant,0.65,157,996,0.1576305220883534,Administrative & Clerical,Moderate
Certified Professional Coder,0.65,129,798,0.1616541353383458,Medical & Healthcare,Moderate
Junior Java Developer,0.65,247,1714,0.1441073512252042,Data & IT,Moderate
Junior Software Engineer,0.65,243,1716,0.1416083916083916,Data & IT,Moderate
Operations Research Analyst,0.65,174,1119,0.1554959785522788,Data & IT,Moderate
Rpg Programmer,0.65,217,1279,0.1696637998436278,Data & IT,Moderate
Clinical Data Analyst,0.65,220,1369,0.1607012417823228,Data & IT,Moderate
Database Administrator,0.65,241,1372,0.1756559766763848,Data & IT,Moderate
Healthcare Data Analyst,0.65,230,1609,0.1429459291485394,Data & IT,Moderate
Mainframe Programmer,0.65,226,1354,0.1669128508124076,Data & IT,Moderate
Oracle Database Developer,0.65,242,1424,0.1699438202247191,Data & IT,Moderate
Sql Data Analyst,0.65,250,1459,0.1713502398903358,Data & IT,Moderate
Armored Truck Driver,0.65,28,227,0.1233480176211453,Law Enforcement,Moderate
Correctional Officer,0.65,37,280,0.1321428571428571,Law Enforcement,Moderate
Deputy Director,0.65,122,829,0.1471652593486128,Leadership & Strategy,Moderate
Forensic Chemist,0.65,54,423,0.1276595744680851,Medical & Healthcare,Moderate
Safety Consultant,0.65,73,765,0.0954248366013071,Construction,Moderate
Security Dispatcher,0.65,84,774,0.1085271317829457,Law Enforcement,Moderate
Cad Operator,0.65,123,921,0.1335504885993485,Data & IT,Moderate
Cad Technician,0.65,124,922,0.1344902386117136,Data & IT,Moderate
Game Artist,0.65,190,1453,0.1307639366827254,Data & IT,Moderate
Radiology Assistant,0.65,68,480,0.1416666666666666,Medical & Healthcare,Moderate
Sonographer,0.65,57,412,0.1383495145631068,Medical & Healthcare,Moderate
Ultrasonographer,0.65,59,438,0.1347031963470319,Medical & Healthcare,Moderate
Vascular Sonographer,0.65,57,434,0.1313364055299539,Medical & Healthcare,Moderate
Vascular Technician,0.65,57,434,0.1313364055299539,Medical & Healthcare,Moderate
Vascular Technologist,0.65,57,434,0.1313364055299539,Medical & Healthcare,Moderate
X Ray Technician,0.65,59,437,0.1350114416475972,Medical & Healthcare,Moderate
Cleaner,0.65,6,27,0.2222222222222222,Hospitality,Moderate
Hospital Housekeeping,0.65,8,33,0.2424242424242424,Hospitality,Moderate
Assembly Operator,0.65,59,495,0.1191919191919192,Construction,Moderate
Electronic Assembler,0.65,59,497,0.1187122736418511,Construction,Moderate
Line Operator,0.65,58,488,0.1188524590163934,Construction,Moderate
Survey Researcher,0.65,165,1079,0.1529193697868396,Sales & Marketing,Moderate
Web Content Manager,0.65,322,2266,0.1421006178287731,Sales & Marketing,Moderate
Electrical Drafter,0.65,123,920,0.133695652173913,Construction,Moderate
Structural Designer,0.65,130,965,0.1347150259067357,Construction,Moderate
Medical Biller,0.65,137,832,0.1646634615384615,Medical & Healthcare,Moderate
Sales Associate,0.65,169,1197,0.1411862990810359,Sales & Marketing,Moderate
Business Banking Relationship Manager,0.65,166,1126,0.147424511545293,Sales & Marketing,Moderate
Janitor,0.65,9,138,0.0652173913043478,Administrative & Clerical,Moderate
Autocad Drafter,0.65,162,1598,0.1013767209011264,Construction,Moderate
Assistant Director,0.65,135,989,0.1365015166835187,Leadership & Strategy,Moderate
Executive Personal Assistant,0.65,128,1018,0.1257367387033398,Administrative & Clerical,Moderate
Pricing Specialist,0.65,164,1163,0.1410146173688736,Sales & Marketing,Moderate
Ticket Agent,0.64,93,834,0.1115107913669064,Hospitality,Moderate
Contract Specialist,0.63,162,1161,0.1395348837209302,Administrative & Clerical,Moderate
Freelancer,0.63,120,974,0.1232032854209445,Data & IT,Moderate
Requirements Analyst,0.62,180,1595,0.1128526645768025,Data & IT,Moderate
Seo Consultant,0.61,166,1338,0.1240657698056801,Sales & Marketing,Moderate
Seo Manager,0.6,166,1334,0.1244377811094452,Sales & Marketing,Moderate
Seo Specialist,0.6,168,1356,0.1238938053097345,Sales & Marketing,Moderate
Creative Project Manager,0.6,169,1604,0.105361596009975,Sales & Marketing,Moderate
Erp Project Manager,0.6,162,1497,0.1082164328657314,Data & IT,Moderate
Healthcare Project Manager,0.6,169,1539,0.1098115659519168,Medical & Healthcare,Moderate
Product Manager,0.6,195,1732,0.1125866050808314,Sales & Marketing,Moderate
Project Consultant,0.6,183,1636,0.1118581907090464,Data & IT,Moderate
Project Manager,0.6,190,1686,0.1126927639383155,Data & IT,Moderate
Customer Assistant,0.6,167,1340,0.1246268656716417,Administrative & Clerical,Moderate
Drafter,0.6,165,1622,0.1017262638717632,Construction,Moderate
Junior Architect,0.6,148,1581,0.0936116382036685,Construction,Moderate
Space Planner,0.6,162,1553,0.1043142305215711,Construction,Moderate
Truss Designer,0.6,160,1521,0.1051939513477975,Construction,Moderate
Urban Planner,0.6,164,1559,0.1051956382296343,Construction,Moderate
Insurance Sales,0.6,135,1031,0.1309408341416101,Sales & Marketing,Moderate
Insurance Sales Representative,0.6,135,1031,0.1309408341416101,Sales & Marketing,Moderate
Life Insurance Agent,0.6,133,1025,0.1297560975609756,Sales & Marketing,Moderate
Java Software Engineer,0.6,110,796,0.1381909547738693,Data & IT,Moderate
Java Web Developer,0.6,110,796,0.1381909547738693,Data & IT,Moderate
Junior Developer,0.6,114,810,0.1407407407407407,Data & IT,Moderate
Performance Analyst,0.6,176,1339,0.1314413741598207,Data & IT,Moderate
Risk Management Analyst,0.6,197,1658,0.1188178528347406,Data & IT,Moderate
Salesforce Business Analyst,0.6,208,1694,0.1227863046044864,Data & IT,Moderate
Data Analyst,0.6,217,1405,0.1544483985765124,Data & IT,Moderate
Database Architect,0.6,170,1564,0.108695652173913,Data & IT,Moderate
Health Data Analyst,0.6,206,1372,0.1501457725947521,Medical & Healthcare,Moderate
Sql Dba,0.6,147,1447,0.1015894955079474,Data & IT,Moderate
Sql Server Dba,0.6,148,1455,0.1017182130584192,Data & IT,Moderate
Shipping Clerk,0.6,141,1102,0.1279491833030853,Supply Chain & Logistics,Moderate
Timekeeper,0.6,97,843,0.1150652431791221,Administrative & Clerical,Moderate
Administration,0.6,108,879,0.1228668941979522,Administrative & Clerical,Moderate
Administrative Director,0.6,120,937,0.128068303094984,Leadership & Strategy,Moderate
Assistant Administrator,0.6,119,926,0.1285097192224622,Administrative & Clerical,Moderate
Compliance Analyst,0.6,187,1309,0.1428571428571428,Medical & Healthcare,Moderate
Front Desk Coordinator,0.6,105,855,0.1228070175438596,Administrative & Clerical,Moderate
Office Clerk,0.6,98,822,0.1192214111922141,Administrative & Clerical,Moderate
Operations Clerk,0.6,108,890,0.1213483146067415,Administrative & Clerical,Moderate
Procurement Clerk,0.6,115,907,0.1267916207276736,Administrative & Clerical,Moderate
Receiver,0.6,50,311,0.1607717041800643,Administrative & Clerical,Moderate
Registration Clerk,0.6,85,710,0.1197183098591549,Administrative & Clerical,Moderate
Registration Specialist,0.6,90,756,0.119047619047619,Administrative & Clerical,Moderate
Unit Secretary,0.6,96,834,0.1151079136690647,Administrative & Clerical,Moderate
Healthcare Business Analyst,0.6,206,1671,0.1232794733692399,Medical & Healthcare,Moderate
Surgery Scheduler,0.6,81,815,0.0993865030674846,Medical & Healthcare,Moderate
Post Office,0.6,73,516,0.1414728682170542,Administrative & Clerical,Moderate
Demand Planner,0.6,154,1120,0.1375,Supply Chain & Logistics,Moderate
Logistics Coordinator,0.6,158,1201,0.1315570358034971,Supply Chain & Logistics,Moderate
Procurement Agent,0.6,156,1123,0.138913624220837,Supply Chain & Logistics,Moderate
Purchasing Coordinator,0.6,158,1201,0.1315570358034971,Supply Chain & Logistics,Moderate
Shipping Coordinator,0.6,160,1175,0.1361702127659574,Supply Chain & Logistics,Moderate
